Predictor,Sensitivity,Specificity,Balanced_acc,Accuracy,F1-score,MCC,AUC,auPR
StackCBEmbed (PSSM),0.553 ± 0.000,0.739 ± 0.017,0.646 ± 0.008,0.646 ± 0.008,0.610 ± 0.006,0.298 ± 0.018,0.707 ± 0.010,0.688 ± 0.017
StackCBEmbed (Embedding),0.736 ± 0.000,0.817 ± 0.018,0.777 ± 0.009,0.777 ± 0.009,0.767 ± 0.007,0.555 ± 0.019,0.833 ± 0.007,0.835 ± 0.012
StackCBEmbed,0.730 ± 0.000,0.820 ± 0.019,0.775 ± 0.010,0.775 ± 0.010,0.765 ± 0.008,0.552 ± 0.020,0.831 ± 0.007,0.833 ± 0.012
