Dataset,Sensitivity,Specificity,Balanced_acc,Accuracy,F1-score,MCC,AUC,auPR
TS49,0.581 ± 0.000,0.926 ± 0.010,0.753 ± 0.005,0.753 ± 0.005,0.702 ± 0.004,0.540 ± 0.012,0.846 ± 0.008,0.862 ± 0.009
TS88,0.513 ± 0.000,0.920 ± 0.011,0.717 ± 0.006,0.717 ± 0.006,0.644 ± 0.005,0.475 ± 0.015,0.822 ± 0.006,0.836 ± 0.009
