Dataset,Sensitivity,Specificity,Balanced_acc,Accuracy,F1-score,MCC,AUC,auPR
TS49,0.274 ± 0.000,0.986 ± 0.005,0.630 ± 0.002,0.630 ± 0.002,0.425 ± 0.001,0.370 ± 0.009,0.806 ± 0.006,0.828 ± 0.009
TS88,0.259 ± 0.000,0.985 ± 0.004,0.622 ± 0.002,0.622 ± 0.002,0.406 ± 0.001,0.354 ± 0.007,0.767 ± 0.007,0.788 ± 0.007
