Dataset,Sensitivity,Specificity,Balanced_acc,Accuracy,F1-score,MCC,AUC,auPR
TS49,0.522 ± 0.000,0.801 ± 0.017,0.661 ± 0.008,0.661 ± 0.008,0.606 ± 0.006,0.336 ± 0.019,0.724 ± 0.011,0.715 ± 0.017
TS88,0.499 ± 0.000,0.755 ± 0.010,0.627 ± 0.005,0.627 ± 0.005,0.572 ± 0.003,0.262 ± 0.011,0.673 ± 0.008,0.666 ± 0.011
