Dataset,Sensitivity,Specificity,Balanced_acc,Accuracy,F1-score,MCC,AUC,auPR
TS49,0.429 ± 0.000,0.972 ± 0.006,0.701 ± 0.003,0.701 ± 0.003,0.589 ± 0.002,0.478 ± 0.009,0.751 ± 0.007,0.805 ± 0.008
TS88,0.339 ± 0.000,0.966 ± 0.008,0.652 ± 0.004,0.652 ± 0.004,0.493 ± 0.003,0.391 ± 0.014,0.686 ± 0.005,0.741 ± 0.009
