Dataset,Sensitivity,Specificity,Balanced_acc,Accuracy,F1-score,MCC,AUC,auPR
TS49,0.325 ± 0.000,0.980 ± 0.003,0.653 ± 0.002,0.653 ± 0.002,0.483 ± 0.001,0.404 ± 0.006,0.793 ± 0.005,0.820 ± 0.006
TS88,0.267 ± 0.000,0.973 ± 0.007,0.620 ± 0.003,0.620 ± 0.003,0.413 ± 0.002,0.340 ± 0.013,0.715 ± 0.008,0.747 ± 0.011
