Predictor,Sensitivity,Specificity,Balanced_acc,Accuracy,F1-score,MCC,AUC,auPR
StackCBEmbed (PSSM),0.748 ± 0.000,0.739 ± 0.014,0.743 ± 0.007,0.743 ± 0.007,0.744 ± 0.005,0.487 ± 0.014,0.800 ± 0.007,0.780 ± 0.013
StackCBEmbed (Embedding),0.869 ± 0.000,0.831 ± 0.017,0.850 ± 0.009,0.850 ± 0.009,0.852 ± 0.007,0.700 ± 0.017,0.912 ± 0.010,0.900 ± 0.018
StackCBEmbed,0.873 ± 0.000,0.830 ± 0.016,0.851 ± 0.008,0.851 ± 0.008,0.854 ± 0.007,0.703 ± 0.016,0.914 ± 0.009,0.899 ± 0.017
