Predictor,Sensitivity,Specificity,Balanced_acc,Accuracy,F1-score,MCC,AUC,auPR
StackCBEmbed (PSSM),0.494 ± 0.000,0.741 ± 0.012,0.618 ± 0.006,0.618 ± 0.006,0.564 ± 0.004,0.243 ± 0.013,0.670 ± 0.008,0.644 ± 0.012
StackCBEmbed (Embedding),0.657 ± 0.000,0.816 ± 0.012,0.736 ± 0.006,0.736 ± 0.006,0.714 ± 0.005,0.479 ± 0.013,0.782 ± 0.007,0.791 ± 0.012
StackCBEmbed,0.666 ± 0.000,0.814 ± 0.010,0.740 ± 0.005,0.740 ± 0.005,0.719 ± 0.004,0.485 ± 0.011,0.786 ± 0.006,0.795 ± 0.012
