Dataset,Sensitivity,Specificity,Balanced_acc,Accuracy,F1-score,MCC,AUC,auPR
TS49,0.429,0.975,0.702,0.954,0.411,0.387,0.753,0.288
TS88,0.339,0.966,0.653,0.950,0.257,0.241,0.687,0.130
