Dataset,Sensitivity,Specificity,Balanced_acc,Accuracy,F1-score,MCC,AUC,auPR
TS49,0.274,0.986,0.630,0.960,0.335,0.325,0.809,0.273
TS88,0.259,0.986,0.622,0.967,0.287,0.272,0.769,0.180
