Dataset,Sensitivity,Specificity,Balanced_acc,Accuracy,F1-score,MCC,AUC,auPR
TS49,0.325,0.982,0.653,0.958,0.361,0.342,0.794,0.250
TS88,0.267,0.973,0.620,0.955,0.233,0.212,0.715,0.111
