Dataset,Sensitivity,Specificity,Balanced_acc,Accuracy,F1-score,MCC,AUC,auPR
TS49,0.581,0.929,0.755,0.916,0.338,0.336,0.848,0.352
TS88,0.513,0.922,0.717,0.911,0.227,0.240,0.823,0.233
